,0,类型,标题,上架时间,编号,信息卡照片,信息卡号,营业执照,经纪备案,房源图片列表,价格,特色标签列表,户型,面积,朝向,经纪人姓名,经纪人联系方式,最短租期,最长租期,所在楼层,总楼层,车位,用电,入住,看房,电梯,用水,燃气,电视,冰箱,洗衣机,空调,热水器,床,暖气,宽带,衣柜,天然气,地址和交通,小区最新成交,房源描述,房源链接,城市,城区,商圈,小区名称,小区链接,每平米房价,经纪人品牌,上下楼便利性,地铁便利性
1,1,整租,苹果社区北区 1室1厅,2019-04-28,BJ2244678239459221504,https://ke-image.ljcdn.com/rent-house-1/89369ca6bfac0fd2f7be657e420f34eb.jpg,,,,"[""https://ke-image.ljcdn.com/rent-user-avatar/02b036c0-72b7-4e5d-9ed9-ebed588ab10b.780x439.jpg"", ""https://ke-image.ljcdn.com/rent-user-avatar/2d6dadba-5e3f-4ff8-ab49-b689710d091f.780x439.jpg"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190506093034d17"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190506093034d17"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190506093034d17"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190506093034d17"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190506093034d17"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190506093034d17"", ""https://ke-image.ljcdn.com/rent-user-avatar/998559eb-b083-4fcd-993c-30ce22ee1b56.780x439.jpg""]",6800,"[""公寓"", ""近地铁"", ""精装"", ""随时看房""]",1室1厅1卫,60,南,,,1年,1年,4,21,暂无数据,民电,随时入住,随时可看,有,民水,有,1,1,1,1,0,1,1,0,1,1,"[[""10号线"", ""双井"", 819], [""7号线,14号线东段"", ""九龙山"", 983]]","[{""成交日期"":""2019-05-03"",""居室"":""3室1厅1卫"",""面积"":""135㎡"",""租赁方式"":""整租"",""出租价格"":""12000元\/月""},{""成交日期"":""2019-05-01"",""居室"":""1室0厅1卫"",""面积"":""59㎡"",""租赁方式"":""整租"",""出租价格"":""7000元\/月""},{""成交日期"":""2019-04-29"",""居室"":""2室1厅1卫"",""面积"":""77㎡"",""租赁方式"":""整租"",""出租价格"":""8500元\/月""}]","1、房屋介绍：
室内装修精美，独立居住空间，采光好宽敞明亮。居家温馨，完全满足日常生活需求。
2、小区介绍：
苹果社区北区小区环境优美，绿化好。治安安全有保障。小区周边配套成熟。
3、总结：
周边租客都是都市青年，邻居素…",https://bj.zu.ke.com/zufang/BJ2244678239459221504.html?h=BJ2244678239459221504&t=default&click_position=10,北京,朝阳,双井,苹果社区北区,https://bj.zu.ke.com/zufang/c1111099581268/,113.33,京泰友家 管家,0,0
2,3,整租,国贸双井 地铁口 新装修 可空房出租 看房随时,2019-04-01,BJ2225356141141950464,https://ke-image.ljcdn.com/ehr-personnel/20180828184410867UWZJJQLO.jpg,,,,"[""https://ke-image.ljcdn.com/110000-inspection/prod-81508b0e-1eea-463e-b7c7-e2cef8d9d6ec.jpg.780x439.jpg"", ""https://ke-image.ljcdn.com/110000-inspection/prod-ca0ae022-1619-402b-9a09-39f7d48e6d8c.jpg.780x439.jpg"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190506093034d17"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190506093034d17"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190506093034d17"", ""https://ke-image.ljcdn.com/110000-inspection/prod-17e940c2-7b93-4f20-9df7-f0aa3fb83c65.jpg.780x439.jpg""]",8500,"[""近地铁"", ""集中供暖"", ""随时看房""]",1室1厅1卫,55,北,,,720,1080,低楼层,21,暂无数据,民电,随时入住,需提前预约,有,民水,有,0,0,0,0,0,0,0,0,0,0,"[[""10号线"", ""双井"", 303], [""7号线,14号线东段"", ""九龙山"", 992]]","[{""成交日期"":""2019-04-29"",""居室"":""1室0厅1卫"",""面积"":""34㎡"",""租赁方式"":""整租"",""出租价格"":""6200元\/月""},{""成交日期"":""2019-04-29"",""居室"":""1室0厅1卫"",""面积"":""41㎡"",""租赁方式"":""整租"",""出租价格"":""6000元\/月""},{""成交日期"":""2019-04-24"",""居室"":""1室0厅1卫"",""面积"":""41㎡"",""租赁方式"":""整租"",""出租价格"":""6500元\/月""}]","【户型介绍】 此户型整个小区21套，55平北向正规一居室，虽然在2层，但是不影响采光，窗外有个露台，有效的阻隔了声音和街景，隐私性高
【交通出行】 小区位于双井桥的东北角，离10#线双井站B2口仅143米，（距离来源高德地图），小区西侧东三环主路，有多条公交线，如30…",https://bj.zu.ke.com/zufang/BJ2225356141141950464.html?h=BJ2225356141141950464&t=default&click_position=24,北京,朝阳,双井,时代国际嘉园,https://bj.zu.ke.com/zufang/c1111027379153/,154.55,链家,0,0
3,5,整租,富力城D区 1室1厅,2019-04-18,BJ2237422397961535488,https://ke-image.ljcdn.com/rent-user-avatar/ab2c1e66-3077-4501-9bc4-ad40628b8ae8,,,,"[""https://ke-image.ljcdn.com/rent-user-avatar/4d9c4fea-d6aa-4855-9bb1-79e057ad6d18.780x439.jpg"", ""https://ke-image.ljcdn.com/rent-user-avatar/849a1528-851e-45e9-80b1-ed591909109d.780x439.jpg"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190506093034d17"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190506093034d17"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190506093034d17"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190506093034d17"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190506093034d17"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190506093034d17"", ""https://ke-image.ljcdn.com/rent-user-avatar/b37380dd-77f9-44a0-8b83-2054131f01d2.780x439.jpg""]",11500,"[""在线签约"", ""公寓"", ""月租"", ""近地铁"", ""精装""]",1室1厅1卫,72,东 北,,,30,360,7,25,暂无数据,民电,随时入住,需提前预约,有,民水,有,1,1,1,1,1,1,1,1,1,1,"[[""7号线"", ""广渠门外"", 118], [""10号线"", ""双井"", 492]]","[{""成交日期"":""2019-05-04"",""居室"":""2室1厅2卫"",""面积"":""111㎡"",""租赁方式"":""整租"",""出租价格"":""15000元\/月""},{""成交日期"":""2019-04-28"",""居室"":""3室1厅2卫"",""面积"":""141㎡"",""租赁方式"":""整租"",""出租价格"":""17500元\/月""},{""成交日期"":""2019-04-22"",""居室"":""2室1厅2卫"",""面积"":""104㎡"",""租赁方式"":""整租"",""出租价格"":""16000元\/月""}]","1、房屋介绍：
室内装修安全，房屋干净整洁，空间大，格局合理，洗澡做饭都可以，非常适合居家居住。
2、小区介绍：
小区紧邻繁华地段，小区周边配套成熟，交通选择多，生活设施全。
3、总结：
房屋无中介费，说的再好不如您亲眼…",https://bj.zu.ke.com/zufang/BJ2237422397961535488.html?h=BJ2237422397961535488&t=default&click_position=20,北京,朝阳,双井,富力城D区,https://bj.zu.ke.com/zufang/c1111027374275/,159.72,金展房产 管家,0,1
4,7,整租,双井东院 1室1厅,2019-03-27,BJ2221432296408621056,https://ke-image.ljcdn.com/rent-house-1/e1e5deeda3b08d9dcce309254faac815.jpg,,,,"[""https://ke-image.ljcdn.com/rent-user-avatar/2fc0adae-2dca-4a4b-88d0-532ef1820e4d.780x439.jpg"", ""https://ke-image.ljcdn.com/rent-user-avatar/4f9dd67e-6942-44fe-bc18-ab610f74d588.780x439.jpg"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190506093034d17"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190506093034d17"", ""https://ke-image.ljcdn.com/rent-user-avatar/ca0bb8f8-cc35-4fe5-a7c3-65fd0f7fb831.780x439.jpg""]",5400,"[""在线签约"", ""月租"", ""近地铁"", ""押一付一"", ""随时看房""]",1室1厅1卫,48,南,,,90,360,1,6,暂无数据,民电,随时入住,随时可看,无,民水,有,0,0,0,1,1,0,0,0,1,0,"[[""10号线"", ""双井"", 27], [""7号线,14号线东段"", ""九龙山"", 1013]]","[{""成交日期"":""2019-03-14"",""居室"":""1室0厅1卫"",""面积"":""65㎡"",""租赁方式"":""整租"",""出租价格"":""4400元\/月""},{""成交日期"":""2019-02-28"",""居室"":""1室0厅1卫"",""面积"":""47㎡"",""租赁方式"":""整租"",""出租价格"":""5700元\/月""},{""成交日期"":""2018-12-02"",""居室"":""2室1厅1卫"",""面积"":""64㎡"",""租赁方式"":""整租"",""出租价格"":""6200元\/月""}]",,https://bj.zu.ke.com/zufang/BJ2221432296408621056.html?h=BJ2221432296408621056&t=default&click_position=23,北京,朝阳,双井,双井东院,https://bj.zu.ke.com/zufang/c1111027379332/,112.5,,0,1
5,9,整租,时代国际嘉园 1室1厅,2019-04-23,BJ2241193376135790592,https://ke-image.ljcdn.com/rent-user-avatar/052fd24e-ae73-4bb4-9e1b-802d885c10b5,,,,"[""https://ke-image.ljcdn.com/rent-user-avatar/1e4fa2b2-78db-4b68-9298-7fd6d344077c.780x439.jpg"", ""https://ke-image.ljcdn.com/rent-user-avatar/367b22cd-0995-43c4-ac8b-f1282de90fab.780x439.jpg"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190506093034d17"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190506093034d17"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190506093034d17"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190506093034d17"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190506093034d17"", ""https://ke-image.ljcdn.com/rent-user-avatar/a4150dca-7e84-4541-8279-dd879ea0031e.780x439.jpg""]",6450,"[""在线签约"", ""近地铁"", ""精装"", ""随时看房""]",1室1厅1卫,57,北,,,1年,1年,10,19,暂无数据,民电,随时入住,随时可看,有,民水,有,1,1,1,1,1,1,1,1,1,1,"[[""10号线"", ""双井"", 303], [""7号线,14号线东段"", ""九龙山"", 992]]","[{""成交日期"":""2019-04-29"",""居室"":""1室0厅1卫"",""面积"":""34㎡"",""租赁方式"":""整租"",""出租价格"":""6200元\/月""},{""成交日期"":""2019-04-29"",""居室"":""1室0厅1卫"",""面积"":""41㎡"",""租赁方式"":""整租"",""出租价格"":""6000元\/月""},{""成交日期"":""2019-04-24"",""居室"":""1室0厅1卫"",""面积"":""41㎡"",""租赁方式"":""整租"",""出租价格"":""6500元\/月""}]","1、房屋介绍：
房屋装修水准高，楼层好，位置优越，配置齐全。
2、小区介绍：
时代国际嘉园小区紧邻繁华地段，小区周边配套成熟，交通选择多，生活设施全。
3、总结：
周边租客都是都市青年，邻居素质高，好相处。欢迎您来电！…",https://bj.zu.ke.com/zufang/BJ2241193376135790592.html?h=BJ2241193376135790592&t=default&click_position=5,北京,朝阳,双井,时代国际嘉园,https://bj.zu.ke.com/zufang/c1111027379153/,113.16,,0,0
6,11,整租,时代国际嘉园 1室1厅,2019-05-03,BJ2248299842621415424,https://ke-image.ljcdn.com/rent-house-1/89369ca6bfac0fd2f7be657e420f34eb.jpg,,,,"[""https://ke-image.ljcdn.com/rent-user-avatar/12c18f27-ea26-445b-8107-b27c640bf237.780x439.jpg"", ""https://ke-image.ljcdn.com/rent-user-avatar/6e24baf5-9a3d-4fa7-bafb-782d36e507fd.780x439.jpg"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190506093034d17"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190506093034d17"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190506093034d17"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190506093034d17"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190506093034d17"", ""https://ke-image.ljcdn.com/rent-user-avatar/ce4a6491-7260-4284-8a6e-6e2d252e2aab.780x439.jpg""]",7500,"[""公寓"", ""近地铁"", ""精装"", ""新上"", ""随时看房""]",1室1厅1卫,60,东,,,1年,1年,2,21,暂无数据,民电,随时入住,随时可看,有,民水,有,1,1,1,1,0,1,1,0,1,1,"[[""10号线"", ""双井"", 303], [""7号线,14号线东段"", ""九龙山"", 992]]","[{""成交日期"":""2019-04-29"",""居室"":""1室0厅1卫"",""面积"":""34㎡"",""租赁方式"":""整租"",""出租价格"":""6200元\/月""},{""成交日期"":""2019-04-29"",""居室"":""1室0厅1卫"",""面积"":""41㎡"",""租赁方式"":""整租"",""出租价格"":""6000元\/月""},{""成交日期"":""2019-04-24"",""居室"":""1室0厅1卫"",""面积"":""41㎡"",""租赁方式"":""整租"",""出租价格"":""6500元\/月""}]","1、房屋介绍：
室内装修精美，独立居住空间，采光好宽敞明亮。居家温馨，完全满足日常生活需求。
2、小区介绍：
时代国际嘉园小区环境优美，绿化好。治安安全有保障。小区周边配套成熟。
3、总结：
周边租客都是都市青年，邻居素…",https://bj.zu.ke.com/zufang/BJ2248299842621415424.html?h=BJ2248299842621415424&t=default&click_position=27,北京,朝阳,双井,时代国际嘉园,https://bj.zu.ke.com/zufang/c1111027379153/,125.0,京泰友家 管家,0,0
7,13,整租,苹果社区北区 1室1厅,2019-04-26,BJ2243395164687581184,https://ke-image.ljcdn.com/rent-user-avatar/1a6c1d46-ac62-488b-a96e-6e3667f7c25f,,,,"[""https://ke-image.ljcdn.com/rent-user-avatar/062af22f-d278-4865-84e8-ee07a537684f.780x439.jpg"", ""https://ke-image.ljcdn.com/rent-user-avatar/9850fa57-33a4-453b-a1fc-a200627b9ef9.780x439.jpg"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190506093034d17"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190506093034d17"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190506093034d17"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190506093034d17"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190506093034d17"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190506093034d17"", ""https://ke-image.ljcdn.com/rent-user-avatar/affce657-d772-4b2c-b36b-3636f72f280c.780x439.jpg""]",7200,"[""在线签约"", ""近地铁"", ""精装"", ""随时看房""]",1室1厅1卫,65,北,,,1年,1年,12,23,暂无数据,民电,随时入住,随时可看,有,民水,有,1,1,1,1,1,1,1,1,1,1,"[[""10号线"", ""双井"", 819], [""7号线,14号线东段"", ""九龙山"", 983]]","[{""成交日期"":""2019-05-03"",""居室"":""3室1厅1卫"",""面积"":""135㎡"",""租赁方式"":""整租"",""出租价格"":""12000元\/月""},{""成交日期"":""2019-05-01"",""居室"":""1室0厅1卫"",""面积"":""59㎡"",""租赁方式"":""整租"",""出租价格"":""7000元\/月""},{""成交日期"":""2019-04-29"",""居室"":""2室1厅1卫"",""面积"":""77㎡"",""租赁方式"":""整租"",""出租价格"":""8500元\/月""}]",10号线，双井，国贸，苹果社区北区精装大开间出租，室内温馨舒适，干净整洁，宽敞明亮，家电齐全，随时看房，拎包入住，服务费可谈,https://bj.zu.ke.com/zufang/BJ2243395164687581184.html?h=BJ2243395164687581184&t=default&click_position=12,北京,朝阳,双井,苹果社区北区,https://bj.zu.ke.com/zufang/c1111099581268/,110.77,,0,0
8,15,整租,双井北里 1室1厅 5700元,2019-05-05,BJ2249728556546662400,https://ke-image.ljcdn.com/ehr-personnel/201808291119302292G35SXXG.png,,,,"[""https://ke-image.ljcdn.com/110000-inspection/90cd9448-73a2-447a-8cc9-8845a2549a45.jpg.780x439.jpg"", ""https://ke-image.ljcdn.com/hdic-frame/77f00240-e929-4dd9-8351-1983b4dcea5a.png.780x439.jpg"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190506093034d17"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190506093034d17"", ""https://ke-image.ljcdn.com/110000-inspection/6f90be56-25c5-4225-a904-007b2f5b0141.jpg.780x439.jpg""]",5700,"[""近地铁"", ""精装"", ""集中供暖"", ""新上"", ""随时看房""]",1室1厅1卫,43,东 南,,,360,720,中楼层,6,暂无数据,民电,随时入住,需提前预约,无,民水,有,1,1,1,1,1,1,1,1,1,1,"[[""10号线"", ""双井"", 559], [""1号线,10号线"", ""国贸"", 1035]]","[{""成交日期"":""2019-03-28"",""居室"":""2室1厅1卫"",""面积"":""59㎡"",""租赁方式"":""整租"",""出租价格"":""6200元\/月""},{""成交日期"":""2018-12-26"",""居室"":""1室1厅1卫"",""面积"":""42㎡"",""租赁方式"":""整租"",""出租价格"":""5000元\/月""},{""成交日期"":""2018-06-24"",""居室"":""1室1厅1卫"",""面积"":""60㎡"",""租赁方式"":""整租"",""出租价格"":""6200元\/月""}]",,https://bj.zu.ke.com/zufang/BJ2249728556546662400.html?h=BJ2249728556546662400&t=default&click_position=13,北京,朝阳,双井,双井北里,https://bj.zu.ke.com/zufang/c1111027379315/,132.56,链家,0,0
9,17,整租,双井 苹果社区南区 正规一居室 可随时起租,2019-03-31,BJ2224484019075293184,https://ke-image.ljcdn.com/ehr-personnel/20180822193336050XBFKT1YD.png,,,,"[""https://ke-image.ljcdn.com/110000-inspection/50d3c20a-52ea-48d0-85ea-0bc7ec620890.jpg.780x439.jpg"", ""https://ke-image.ljcdn.com/110000-inspection/7d36e12a-6c73-4137-8282-34ca9dc33b35.jpg.780x439.jpg"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190506093034d17"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190506093034d17"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190506093034d17"", ""https://ke-image.ljcdn.com/110000-inspection/87822d75-9f16-4fc5-8497-3cde45015f5d.jpg.780x439.jpg""]",8200,"[""近地铁"", ""精装"", ""集中供暖"", ""随时看房""]",1室1厅1卫,64,北,,,360,720,高楼层,27,暂无数据,民电,随时入住,需提前预约,有,民水,有,1,1,1,1,1,1,1,1,1,1,"[[""10号线"", ""双井"", 817], [""7号线,14号线东段"", ""九龙山"", 980]]","[{""成交日期"":""2019-05-04"",""居室"":""1室1厅1卫"",""面积"":""72㎡"",""租赁方式"":""整租"",""出租价格"":""8800元\/月""},{""成交日期"":""2019-04-29"",""居室"":""1室1厅1卫"",""面积"":""72㎡"",""租赁方式"":""整租"",""出租价格"":""8800元\/月""},{""成交日期"":""2019-04-28"",""居室"":""2室1厅2卫"",""面积"":""108㎡"",""租赁方式"":""整租"",""出租价格"":""12000元\/月""}]","【房源亮点】 房子是朝北向的一居室，客厅、卧室朝北看国贸，卫生间干湿分离。
【交通出行】 出小区南门左侧是公交车站，有专5路、专165路公交车停靠。小区距离10号线双井站1.3公里（数据出自百度地图），距离7号线和14号线的换乘车站九龙山站980米（数据出自百度地图）…",https://bj.zu.ke.com/zufang/BJ2224484019075293184.html?h=BJ2224484019075293184&t=default&click_position=23,北京,朝阳,双井,苹果社区南区,https://bj.zu.ke.com/zufang/c1111027378713/,128.12,链家,0,0
10,19,整租,A派公寓 1室1厅,2019-05-06,BJ2250469933416980480,https://ke-image.ljcdn.com/rent-house-1/62ef645c49ff15779b564a9cc4908e43.jpg,,,,"[""https://ke-image.ljcdn.com/rent-user-avatar/07eadca2-5465-4e97-890f-34e32b5d6f34.780x439.jpg"", ""https://ke-image.ljcdn.com/rent-user-avatar/ebb74799-b521-4db3-9b9e-9f7d9cb53cc7.780x439.jpg"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190506093034d17"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190506093034d17"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190506093034d17"", ""https://ke-image.ljcdn.com/rent-user-avatar/e5a5466d-74e9-443d-a8f0-6943b5fd15e3.780x439.jpg""]",8800,"[""公寓"", ""近地铁"", ""精装"", ""新上"", ""随时看房""]",1室1厅1卫,63, 北,,,1年,1年,16,19,暂无数据,民电,随时入住,随时可看,有,民水,有,1,1,1,1,0,1,1,1,1,1,"[[""10号线"", ""双井"", 610], [""7号线,14号线东段"", ""九龙山"", 1008]]","[{""成交日期"":""2019-04-21"",""居室"":""1室1厅1卫"",""面积"":""63㎡"",""租赁方式"":""整租"",""出租价格"":""8700元\/月""},{""成交日期"":""2019-04-17"",""居室"":""2室1厅1卫"",""面积"":""110㎡"",""租赁方式"":""整租"",""出租价格"":""14000元\/月""},{""成交日期"":""2019-04-15"",""居室"":""2室1厅1卫"",""面积"":""92㎡"",""租赁方式"":""整租"",""出租价格"":""12000元\/月""}]","1. 房屋设施齐全，高档家具，精心设计。


2. 价格便宜，可以随时看房

3. 业主踏实稳定，长期出租。


4. 小区环境好，居住人群素质高，容积率低，号称繁华CBD里的世…",https://bj.zu.ke.com/zufang/BJ2250469933416980480.html?h=BJ2250469933416980480&t=default&click_position=0,北京,朝阳,双井,A派公寓,https://bj.zu.ke.com/zufang/c1111027375650/,139.68,馨然之家 管家,0,0
