,0,类型,标题,上架时间,编号,信息卡照片,信息卡号,营业执照,经纪备案,房源图片列表,价格,特色标签列表,户型,面积,朝向,经纪人姓名,经纪人联系方式,最短租期,最长租期,所在楼层,总楼层,车位,用电,入住,看房,电梯,用水,燃气,电视,冰箱,洗衣机,空调,热水器,床,暖气,宽带,衣柜,天然气,地址和交通,小区最新成交,房源描述,房源链接,城市,城区,商圈,小区名称,小区链接,每平米房价,经纪人品牌,上下楼便利性,地铁便利性
1,1,整租,横一条甲18号院 2室1厅 6500元,2019-03-22,BJ2217831408754769920,https://ke-image.ljcdn.com/ehr-personnel/20190124141454314QSBJF7V5.png,,,,"[""https://ke-image.ljcdn.com/110000-inspection/85b46915-4198-49b1-837b-b634ac973bfa.jpg.780x439.jpg"", ""https://ke-image.ljcdn.com/110000-inspection/c5a0c963-d022-4d23-ac0d-8ea57f6a38f3.jpg.780x439.jpg"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=2019050614182199f"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=2019050614182199f"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=2019050614182199f"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=2019050614182199f"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=2019050614182199f"", ""https://ke-image.ljcdn.com/110000-inspection/95534cb1-08cd-4c6c-8807-663dc9f380b8.jpg.780x439.jpg""]",6500,"[""随时看房""]",2室1厅1卫,88,南 北,,,3年以上,3年以上,低楼层,6,暂无数据,民电,随时入住,需提前预约,无,民水,有,1,1,1,1,1,1,1,1,1,1,"[[""5号线,10号线,亦庄线"", ""宋家庄"", 1169]]","[{""成交日期"":""2018-08-23"",""居室"":""2室1厅1卫"",""面积"":""78㎡"",""租赁方式"":""整租"",""出租价格"":""6400元\/月""},{""成交日期"":""2018-04-13"",""居室"":""2室1厅1卫"",""面积"":""80㎡"",""租赁方式"":""整租"",""出租价格"":""2500元\/月""},{""成交日期"":""2018-03-03"",""居室"":""2室1厅1卫"",""面积"":""86㎡"",""租赁方式"":""整租"",""出租价格"":""6200元\/月""}]",,https://bj.zu.ke.com/zufang/BJ2217831408754769920.html?h=BJ2217831408754769920&t=default&click_position=8,北京,丰台,宋家庄,横一条甲18号院,https://bj.zu.ke.com/zufang/c1111027375509/,73.86,链家,0,0
2,3,合租,华芳嘉园 2居室,2019-03-25,BJ2220011852098969600,https://ke-image.ljcdn.com/rent-user-avatar/d4f5f9ab-e57f-4033-85aa-941bee73027a,,,,"[""https://ke-image.ljcdn.com/rent-user-avatar/248fceff-290c-4434-92f2-1b414d19dacd.780x439.jpg"", ""https://ke-image.ljcdn.com/rent-user-avatar/433efde4-6823-4af5-a1f7-5362890884b1.780x439.jpg"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=2019050614182199f"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=2019050614182199f"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=2019050614182199f"", ""https://ke-image.ljcdn.com/rent-user-avatar/c59cb533-91f7-4bca-b5c0-a68e83cf7e1e.780x439.jpg""]",1800,"[""在线签约"", ""近地铁"", ""精装"", ""独立阳台"", ""随时看房""]",2居室,19,北,,,360,720,1,6,暂无数据,民电,随时入住,随时可看,无,民水,有,0,1,1,1,1,1,1,1,1,1,"[[""5号线,10号线,亦庄线"", ""宋家庄"", 1097]]","[{""成交日期"":""2017-03-03"",""居室"":""5居室"",""面积"":""14㎡"",""租赁方式"":""合租"",""出租价格"":""1690元\/月""},{""成交日期"":""2017-03-03"",""居室"":""5居室"",""面积"":""12㎡"",""租赁方式"":""合租"",""出租价格"":""1690元\/月""},{""成交日期"":""2017-01-14"",""居室"":""3居室"",""面积"":""12㎡"",""租赁方式"":""合租"",""出租价格"":""1860元\/月""}]",,https://bj.zu.ke.com/zufang/BJ2220011852098969600.html?h=BJ2220011852098969600&t=default&click_position=1,北京,丰台,宋家庄,华芳嘉园,https://bj.zu.ke.com/zufang/c1111027374955/,94.74,,0,0
3,5,合租,顶秀金石家园 4居室,2019-04-28,BJ2244827633990762496,https://ke-image.ljcdn.com/rent-user-avatar/d4f5f9ab-e57f-4033-85aa-941bee73027a,,,,"[""https://ke-image.ljcdn.com/rent-user-avatar/a5e9b7b5-705c-4ffc-80eb-eb55255d90c7.780x439.jpg"", ""https://ke-image.ljcdn.com/rent-user-avatar/b54d8baf-8b6a-495a-92ef-d7f1af1c8648.780x439.jpg"", ""https://ke-image.ljcdn.com/rent-user-avatar/43faa33d-95aa-4194-bc12-012978953998.780x439.jpg""]",2300,"[""在线签约"", ""近地铁"", ""精装"", ""独立阳台"", ""集中供暖"", ""押一付一"", ""随时看房""]",4居室,18,南,,,1年,1年,13,20,暂无数据,民电,随时入住,随时可看,暂无数据,民水,有,1,1,1,1,1,1,1,1,1,1,"[[""5号线,10号线,亦庄线"", ""宋家庄"", 1033]]","[{""成交日期"":""2018-03-13"",""居室"":""3居室"",""面积"":""11㎡"",""租赁方式"":""合租"",""出租价格"":""2490元\/月""},{""成交日期"":""2017-06-29"",""居室"":""3居室"",""面积"":""11㎡"",""租赁方式"":""合租"",""出租价格"":""2290元\/月""},{""成交日期"":""2017-06-29"",""居室"":""3居室"",""面积"":""12㎡"",""租赁方式"":""合租"",""出租价格"":""2660元\/月""}]",,https://bj.zu.ke.com/zufang/BJ2244827633990762496.html?h=BJ2244827633990762496&t=default&click_position=1,北京,丰台,宋家庄,顶秀金石家园,https://bj.zu.ke.com/zufang/c1111046588029/,127.78,,0,0
4,7,合租,顺八条1号院 4居室,2019-05-06,BJ2250597926034210816,https://ke-image.ljcdn.com/rent-user-avatar/6631501d-63eb-45ab-8733-e8210ea5e1f4,,,,"[""https://ke-image.ljcdn.com/rent-user-avatar/98b5e1a6-d982-46dd-a1d7-f328f09d7013.780x439.jpg"", ""https://ke-image.ljcdn.com/rent-user-avatar/c454abd5-7930-4ef9-9432-d736558767ae.780x439.jpg"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=2019050614182199f"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=2019050614182199f"", ""https://ke-image.ljcdn.com/rent-user-avatar/359a7464-354d-425d-883f-def08c6256d9.780x439.jpg""]",1800,"[""在线签约"", ""近地铁"", ""精装"", ""新上"", ""随时看房""]",4居室,15,北,,,1年,1年,3,21,暂无数据,暂无数据,2019-05-20,随时可看,暂无数据,暂无数据,无,0,1,1,1,1,1,1,1,1,1,"[[""5号线,10号线,亦庄线"", ""宋家庄"", 628]]","[{""成交日期"":""2018-03-16"",""居室"":""3居室"",""面积"":""16㎡"",""租赁方式"":""合租"",""出租价格"":""2890元\/月""},{""成交日期"":""2018-01-03"",""居室"":""3居室"",""面积"":""10㎡"",""租赁方式"":""合租"",""出租价格"":""2460元\/月""},{""成交日期"":""2018-01-03"",""居室"":""3居室"",""面积"":""11㎡"",""租赁方式"":""合租"",""出租价格"":""2460元\/月""}]","1、房屋介绍：
室内装修精美，独立居住空间，采光好宽敞明亮。居家温馨，完全满足日常生活需求。
2、小区介绍：
顺八条1号院小区附近配套齐全，交通便利，出行娱乐都非常方便。
3、总结：
房屋照片均是实景拍摄，随时都能看房，…",https://bj.zu.ke.com/zufang/BJ2250597926034210816.html?h=BJ2250597926034210816&t=default&click_position=20,北京,丰台,宋家庄,顺八条1号院,https://bj.zu.ke.com/zufang/c1111027379094/,120.0,,0,0
5,9,合租,华芳嘉园 2居室,2019-04-07,BJ2229447543279337472,https://ke-image.ljcdn.com/rent-user-avatar/d4f5f9ab-e57f-4033-85aa-941bee73027a,,,,"[""https://ke-image.ljcdn.com/rent-user-avatar/097ec4b9-e51f-49a3-b13e-4261f1249000.780x439.jpg"", ""https://ke-image.ljcdn.com/rent-user-avatar/88e942f8-89fe-458a-876e-dcd1abdceb19.780x439.jpg"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=2019050614182199f"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=2019050614182199f"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=2019050614182199f"", ""https://ke-image.ljcdn.com/rent-user-avatar/d16efa6b-a8a6-4c53-93bc-15853931fe82.780x439.jpg""]",1600,"[""在线签约"", ""近地铁"", ""精装"", ""独立阳台"", ""随时看房""]",2居室,19,北,,,360,720,1,5,暂无数据,民电,随时入住,随时可看,无,民水,有,0,1,1,1,1,1,0,1,1,1,"[[""5号线,10号线,亦庄线"", ""宋家庄"", 1097]]","[{""成交日期"":""2017-03-03"",""居室"":""5居室"",""面积"":""14㎡"",""租赁方式"":""合租"",""出租价格"":""1690元\/月""},{""成交日期"":""2017-03-03"",""居室"":""5居室"",""面积"":""12㎡"",""租赁方式"":""合租"",""出租价格"":""1690元\/月""},{""成交日期"":""2017-01-14"",""居室"":""3居室"",""面积"":""12㎡"",""租赁方式"":""合租"",""出租价格"":""1860元\/月""}]","宋家庄地铁横一条加油站附近，步行地铁12min，华芳嘉园主卧朝南，甩租1800每月，次卧1600，真实照片。看房随时。
周边医院，超市，银行配套齐全，交通便利！",https://bj.zu.ke.com/zufang/BJ2229447543279337472.html?h=BJ2229447543279337472&t=default&click_position=10,北京,丰台,宋家庄,华芳嘉园,https://bj.zu.ke.com/zufang/c1111027374955/,84.21,,0,0
6,11,合租,顶秀金石家园 3居室,2019-04-15,BJ2235336625553154048,https://ke-image.ljcdn.com/rent-user-avatar/d4f5f9ab-e57f-4033-85aa-941bee73027a,,,,"[""https://ke-image.ljcdn.com/rent-user-avatar/434691f2-d523-4774-9c07-765bac022a02.780x439.jpg"", ""https://ke-image.ljcdn.com/rent-user-avatar/c166e002-b169-4131-b0f8-d416d3ba3a01.780x439.jpg"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=2019050614182199f"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=2019050614182199f"", ""https://ke-image.ljcdn.com/rent-user-avatar/fad30fe8-652c-40c3-b316-922a407561ca.780x439.jpg""]",2200,"[""在线签约"", ""近地铁"", ""精装"", ""随时看房""]",3居室,18,南,,,1年,1年,3,21,暂无数据,暂无数据,随时入住,随时可看,暂无数据,暂无数据,暂无数据,0,1,1,1,1,1,1,1,1,1,"[[""5号线,10号线,亦庄线"", ""宋家庄"", 1033]]","[{""成交日期"":""2018-03-13"",""居室"":""3居室"",""面积"":""11㎡"",""租赁方式"":""合租"",""出租价格"":""2490元\/月""},{""成交日期"":""2017-06-29"",""居室"":""3居室"",""面积"":""11㎡"",""租赁方式"":""合租"",""出租价格"":""2290元\/月""},{""成交日期"":""2017-06-29"",""居室"":""3居室"",""面积"":""12㎡"",""租赁方式"":""合租"",""出租价格"":""2660元\/月""}]","1、房屋介绍：
房屋装修水准高，楼层好，位置优越，配置齐全。
2、小区介绍：
顶秀金石家园小区紧邻繁华地段，小区周边配套成熟，交通选择多，生活设施全。
3、总结：
房屋无中介费，说的再好不如您亲眼见了好，好房不多，别再犹…",https://bj.zu.ke.com/zufang/BJ2235336625553154048.html?h=BJ2235336625553154048&t=default&click_position=18,北京,丰台,宋家庄,顶秀金石家园,https://bj.zu.ke.com/zufang/c1111046588029/,122.22,,0,0
7,13,合租,顶秀金颐家园 4居室,2019-04-08,BJ2230325670985613312,https://ke-image.ljcdn.com/rent-house-1/50e191bc20a397e496f8dd343dbca084.jpg,,,,"[""https://ke-image.ljcdn.com/rent-user-avatar/6275d2a5-bcc4-4260-a658-ab7f1cd643c8.780x439.jpg"", ""https://ke-image.ljcdn.com/rent-user-avatar/9a4fd689-accb-4cba-bce9-d59bf33327bf.780x439.jpg"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=2019050614182199f"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=2019050614182199f"", ""https://ke-image.ljcdn.com/rent-user-avatar/2a33bf05-f11f-46de-831b-aa5570d22acc.780x439.jpg""]",2200,"[""公寓"", ""近地铁"", ""精装"", ""押一付一"", ""随时看房""]",4居室,23,南,,,1年,1年,1,27,暂无数据,民电,随时入住,随时可看,暂无数据,民水,有,0,1,1,1,1,1,1,1,1,1,"[[""5号线,10号线,亦庄线"", ""宋家庄"", 705]]","[{""成交日期"":""2017-09-17"",""居室"":""1居室"",""面积"":""10㎡"",""租赁方式"":""合租"",""出租价格"":""1800元\/月""},{""成交日期"":""2017-08-07"",""居室"":""1居室"",""面积"":""10㎡"",""租赁方式"":""合租"",""出租价格"":""1900元\/月""},{""成交日期"":""2017-06-25"",""居室"":""3居室"",""面积"":""11㎡"",""租赁方式"":""合租"",""出租价格"":""2530元\/月""}]",,https://bj.zu.ke.com/zufang/BJ2230325670985613312.html?h=BJ2230325670985613312&t=default&click_position=24,北京,丰台,宋家庄,顶秀金颐家园,https://bj.zu.ke.com/zufang/c1111049979815/,95.65,嘉旭公寓 管家,0,0
8,15,合租,顶秀金颐家园 3居室,2019-03-26,BJ2220956249137627136,https://ke-image.ljcdn.com/rent-user-avatar/49016af4-4b97-463b-9daa-95843e0befce,,,,"[""https://ke-image.ljcdn.com/rent-user-avatar/400c4429-dec0-48bc-baf2-4db66fd5f3d2.780x439.jpg"", ""https://ke-image.ljcdn.com/rent-user-avatar/693b94eb-1614-4644-a79a-827335c0357f.780x439.jpg"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=2019050614182199f"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=2019050614182199f"", ""https://ke-image.ljcdn.com/rent-user-avatar/dc939b6d-9839-4a85-9b37-d4f1602c009f.780x439.jpg""]",2000,"[""在线签约"", ""公寓"", ""近地铁"", ""精装"", ""随时看房""]",3居室,18,南,,,1年以上,1年以上,11,27,暂无数据,民电,随时入住,随时可看,暂无数据,民水,有,1,1,1,1,1,1,1,1,1,1,"[[""5号线,10号线,亦庄线"", ""宋家庄"", 705]]","[{""成交日期"":""2017-09-17"",""居室"":""1居室"",""面积"":""10㎡"",""租赁方式"":""合租"",""出租价格"":""1800元\/月""},{""成交日期"":""2017-08-07"",""居室"":""1居室"",""面积"":""10㎡"",""租赁方式"":""合租"",""出租价格"":""1900元\/月""},{""成交日期"":""2017-06-25"",""居室"":""3居室"",""面积"":""11㎡"",""租赁方式"":""合租"",""出租价格"":""2530元\/月""}]","1、房屋介绍：
室内装修安全，房屋干净整洁，空间大，格局合理，洗澡做饭都可以，非常适合居家居住。
2、小区介绍：
顶秀金颐家园小区附近配套齐全，交通便利，出行娱乐都非常方便。
3、总结：
房屋无中介费，说的再好不如您亲眼…",https://bj.zu.ke.com/zufang/BJ2220956249137627136.html?h=BJ2220956249137627136&t=default&click_position=17,北京,丰台,宋家庄,顶秀金颐家园,https://bj.zu.ke.com/zufang/c1111049979815/,111.11,京城联行 管家,0,0
9,17,合租,顶秀金石家园 4居室,2019-04-08,BJ2230371614778990592,https://ke-image.ljcdn.com/rent-house-1/50e191bc20a397e496f8dd343dbca084.jpg,,,,"[""https://ke-image.ljcdn.com/rent-user-avatar/0a10eaba-ca17-419f-ac8a-1658d7839ed2.780x439.jpg"", ""https://ke-image.ljcdn.com/rent-user-avatar/9f4e4e2d-3a0c-4e31-a9f3-4f6f9e674510.780x439.jpg"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=2019050614182199f"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=2019050614182199f"", ""https://ke-image.ljcdn.com/rent-user-avatar/3b934e6e-df17-4f6c-819f-7fee65fdfd8f.780x439.jpg""]",2200,"[""公寓"", ""近地铁"", ""精装"", ""随时看房""]",4居室,20,南,,,1年,1年,24,24,暂无数据,民电,随时入住,随时可看,暂无数据,民水,有,0,1,1,1,1,1,1,1,1,1,"[[""5号线,10号线,亦庄线"", ""宋家庄"", 1033]]","[{""成交日期"":""2018-03-13"",""居室"":""3居室"",""面积"":""11㎡"",""租赁方式"":""合租"",""出租价格"":""2490元\/月""},{""成交日期"":""2017-06-29"",""居室"":""3居室"",""面积"":""11㎡"",""租赁方式"":""合租"",""出租价格"":""2290元\/月""},{""成交日期"":""2017-06-29"",""居室"":""3居室"",""面积"":""12㎡"",""租赁方式"":""合租"",""出租价格"":""2660元\/月""}]",,https://bj.zu.ke.com/zufang/BJ2230371614778990592.html?h=BJ2230371614778990592&t=default&click_position=19,北京,丰台,宋家庄,顶秀金石家园,https://bj.zu.ke.com/zufang/c1111046588029/,110.0,嘉旭公寓 管家,0,0
10,19,合租,顶秀金瑞家园 3居室,2019-04-22,BJ2240423927963205632,https://ke-image.ljcdn.com/rent-house-1/50e191bc20a397e496f8dd343dbca084.jpg,,,,"[""https://ke-image.ljcdn.com/rent-user-avatar/456e3e22-2059-406e-b948-e877d09480ff.780x439.jpg"", ""https://ke-image.ljcdn.com/rent-user-avatar/6309f9e7-96b1-4e91-960f-a080c2e2a06e.780x439.jpg"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=2019050614182199f"", ""https://ke-image.ljcdn.com/rent-user-avatar/6b252533-9399-4feb-8fa6-4b4d19a9e81b.780x439.jpg""]",1800,"[""公寓"", ""精装"", ""随时看房""]",3居室,20,北,,,1年,1年,15,22,暂无数据,民电,随时入住,随时可看,暂无数据,商水,有,0,1,1,1,1,1,1,1,1,1,[],"[{""成交日期"":""2018-08-05"",""居室"":""1居室"",""面积"":""9㎡"",""租赁方式"":""合租"",""出租价格"":""2300元\/月""},{""成交日期"":""2018-03-11"",""居室"":""2居室"",""面积"":""75㎡"",""租赁方式"":""合租"",""出租价格"":""2100元\/月""},{""成交日期"":""2018-03-04"",""居室"":""3居室"",""面积"":""12㎡"",""租赁方式"":""合租"",""出租价格"":""2390元\/月""}]","1、房屋介绍：
室内装修精美，独立居住空间，采光好宽敞明亮。居家温馨，完全满足日常生活需求。
2、小区介绍：
顶秀金瑞家园小区紧邻繁华地段，小区周边配套成熟，交通选择多，生活设施全。
3、总结：
周边租客都是都市青年，邻…",https://bj.zu.ke.com/zufang/BJ2240423927963205632.html?h=BJ2240423927963205632&t=default&click_position=10,北京,丰台,宋家庄,顶秀金瑞家园,https://bj.zu.ke.com/zufang/c1111050086485/,90.0,嘉旭公寓 管家,0,0
