,0,类型,标题,上架时间,编号,信息卡照片,信息卡号,营业执照,经纪备案,房源图片列表,价格,特色标签列表,户型,面积,朝向,经纪人姓名,经纪人联系方式,最短租期,最长租期,所在楼层,总楼层,车位,用电,入住,看房,电梯,用水,燃气,电视,冰箱,洗衣机,空调,热水器,床,暖气,宽带,衣柜,天然气,地址和交通,小区最新成交,房源描述,房源链接,城市,城区,商圈,小区名称,小区链接,每平米房价,经纪人品牌,上下楼便利性,地铁便利性
1,1,整租,新源街 1室1厅 5300元,2019-03-21,BJ2217122427212152832,https://ke-image.ljcdn.com/ehr-personnel/20180822113338857SQUETMP1.jpg,,,,"[""https://ke-image.ljcdn.com/110000-inspection/fbfcacb6-dd51-493a-98a9-c890a2f772e7.jpg.780x439.jpg"", ""https://ke-image.ljcdn.com/hdic-frame/d28f8cfe-ecc9-4226-9d48-0584628ef2cb.png.780x439.jpg"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417134717918"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417134717918"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417134717918"", ""https://ke-image.ljcdn.com/110000-inspection/74746f12-46fd-4259-9948-d4efc42d6534.jpg.780x439.jpg""]",5300,"[""近地铁"", ""集中供暖"", ""随时看房""]",1室1厅1卫,46,东南,,,360,720,低楼层,16,暂无数据,民电,随时入住,需提前预约,有,民水,有,1,1,1,1,1,1,1,0,1,1,"[[""10号线"", ""亮马桥"", 878], [""机场线,10号线"", ""三元桥"", 1154]]","[{""成交日期"":""2019-01-15"",""居室"":""2室1厅1卫"",""面积"":""58㎡"",""租赁方式"":""整租"",""出租价格"":""8000元\/月""},{""成交日期"":""2019-01-03"",""居室"":""2室1厅1卫"",""面积"":""97㎡"",""租赁方式"":""整租"",""出租价格"":""8000元\/月""},{""成交日期"":""2019-01-02"",""居室"":""1室1厅1卫"",""面积"":""36㎡"",""租赁方式"":""整租"",""出租价格"":""5100元\/月""}]",,https://bj.zu.ke.com/zufang/BJ2217122427212152832.html,北京,朝阳,三元桥,新源街,https://bj.zu.ke.com/zufang/c1111027381357/,115.22,链家,0,0
2,3,整租,三源里北小街 2室1厅 7500元,2019-03-21,BJ2217360736484081664,https://ke-image.ljcdn.com/ehr-personnel/20180822113338857SQUETMP1.jpg,,,,"[""https://ke-image.ljcdn.com/110000-inspection/prod-0eb702bc-520e-4721-b75a-d433556e6858.jpg.780x439.jpg"", ""https://ke-image.ljcdn.com/hdic-frame/prod-c98579b5-df15-472b-a9f9-dd4e98848381.png.780x439.jpg"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417134717918"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417134717918"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417134717918"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417134717918"", ""https://ke-image.ljcdn.com/110000-inspection/prod-96834cf9-4920-4b2d-8fb6-685e167de530.jpg.780x439.jpg""]",7500,"[""近地铁"", ""精装"", ""集中供暖"", ""随时看房""]",2室1厅1卫,65,西南,,,720,1080,高楼层,12,暂无数据,民电,随时入住,需提前预约,有,民水,有,1,1,1,1,1,1,1,0,1,1,"[[""机场线,10号线"", ""三元桥"", 775], [""10号线"", ""亮马桥"", 1004]]","[{""成交日期"":""2019-03-17"",""居室"":""1室1厅1卫"",""面积"":""46㎡"",""租赁方式"":""整租"",""出租价格"":""5600元\/月""},{""成交日期"":""2019-02-20"",""居室"":""1室1厅1卫"",""面积"":""44㎡"",""租赁方式"":""整租"",""出租价格"":""6300元\/月""},{""成交日期"":""2019-01-17"",""居室"":""1室1厅1卫"",""面积"":""37㎡"",""租赁方式"":""整租"",""出租价格"":""5800元\/月""}]",,https://bj.zu.ke.com/zufang/BJ2217360736484081664.html,北京,朝阳,三元桥,三源里北小街,https://bj.zu.ke.com/zufang/c1111027379669/,115.38,链家,0,0
3,5,整租,新源南路 3室1厅 9300元,2019-04-05,BJ2228219121051639808,https://ke-image.ljcdn.com/ehr-personnel/20180822181121106FWVXZTWZ.jpg,,,,"[""https://ke-image.ljcdn.com/110000-inspection/rsp_pic_upload990b837e-0d3a-4c8f-99a4-1f32ab23002c.jpg.780x439.jpg"", ""https://ke-image.ljcdn.com/110000-inspection/rsp_pic_uploada684b680-62d0-48f0-af46-4dfa95114860.jpg.780x439.jpg"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417134717918"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417134717918"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417134717918"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417134717918"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417134717918"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417134717918"", ""https://ke-image.ljcdn.com/110000-inspection/rsp_pic_uploada9f16d91-7ee6-444b-bbb8-235b392f6d8d.jpg.780x439.jpg""]",9300,"[""近地铁"", ""精装"", ""集中供暖"", ""随时看房""]",3室1厅1卫,77,西北,,,720,1080,中楼层,16,暂无数据,民电,随时入住,需提前预约,有,民水,有,1,1,1,1,1,1,1,1,1,1,"[[""10号线"", ""亮马桥"", 639]]","[{""成交日期"":""2019-04-03"",""居室"":""1室1厅1卫"",""面积"":""45㎡"",""租赁方式"":""整租"",""出租价格"":""5800元\/月""},{""成交日期"":""2018-12-29"",""居室"":""2室1厅1卫"",""面积"":""64㎡"",""租赁方式"":""整租"",""出租价格"":""6200元\/月""},{""成交日期"":""2018-12-23"",""居室"":""2室1厅1卫"",""面积"":""59㎡"",""租赁方式"":""整租"",""出租价格"":""7000元\/月""}]",,https://bj.zu.ke.com/zufang/BJ2228219121051639808.html,北京,朝阳,三元桥,新源南路,https://bj.zu.ke.com/zufang/c1111027381384/,120.78,链家,0,0
4,7,整租,三源里南小街 1室1厅,2019-04-12,BJ2233072902314934272,https://ke-image.ljcdn.com/rent-house-1/b583fbf779e82605193782c16a278a6d.jpg,,,,"[""https://ke-image.ljcdn.com/rent-house-1/2b659455896a8fbc9fd92302ea46835f-1555038005724/560f5c619aee316b7208122efb324e24.jpg.780x439.jpg"", ""https://ke-image.ljcdn.com/rent-house-1/2b659455896a8fbc9fd92302ea46835f-1555040544486/9736a5f66f3f3edd7d5b1c2106317d2f.jpg.780x439.jpg"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417134717918"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417134717918"", ""https://ke-image.ljcdn.com/rent-house-1/2b659455896a8fbc9fd92302ea46835f-1555040544485/c98956c9179f3c4ec01af691979b362c.jpg.780x439.jpg""]",7030,"[""公寓"", ""近地铁"", ""押一付一"", ""新上"", ""随时看房""]",1室1厅1卫,37,南,,,暂无数据,暂无数据,2,6,暂无数据,暂无数据,随时入住,随时可看,暂无数据,暂无数据,暂无数据,1,1,1,1,1,1,0,1,1,0,"[[""机场线,10号线"", ""三元桥"", 717], [""10号线"", ""亮马桥"", 719]]","[{""成交日期"":""2019-03-18"",""居室"":""2室1厅1卫"",""面积"":""61㎡"",""租赁方式"":""整租"",""出租价格"":""7500元\/月""},{""成交日期"":""2018-12-29"",""居室"":""2室1厅1卫"",""面积"":""61㎡"",""租赁方式"":""整租"",""出租价格"":""7735元\/月""},{""成交日期"":""2018-12-27"",""居室"":""1室1厅1卫"",""面积"":""37㎡"",""租赁方式"":""整租"",""出租价格"":""5800元\/月""}]",此房源为三源里南小街房源，正规一居室户型，房源品质优越，朝南，2层超棒楼层，不用在费劲爬楼，业主直租产品，押一付一不涨房租。舒适的居住体验，窗户外边是绿植，很有诗意，卧室温馨满满；此房源为板楼，小区位置非常好。出门5***就到地铁和公交站。,https://bj.zu.ke.com/zufang/BJ2233072902314934272.html,北京,朝阳,三元桥,三源里南小街,https://bj.zu.ke.com/zufang/c1111027379671/,190.0,自如,0,0
5,9,未知,凤凰城优质三居室，拎包入住，南北通透，户型超棒,2019-03-31,BJ2209406032193789952,https://ke-image.ljcdn.com/ehr-personnel/20180829105649744FVT6DU9Q.jpg,,,,"[""https://ke-image.ljcdn.com/110000-inspection/9e37f64a-7553-4426-9d3e-7b63f1687566.jpg.780x439.jpg"", ""https://ke-image.ljcdn.com/110000-inspection/e46f3ec2-6784-40c2-96ce-e19031f0dbc0.jpg.780x439.jpg"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417134717918"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417134717918"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417134717918"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417134717918"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417134717918"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417134717918"", ""https://ke-image.ljcdn.com/110000-inspection/a02bccbb-1a72-4a9a-b01c-b83016e0929f.jpg.780x439.jpg""]",27000,"[""近地铁"", ""集中供暖"", ""随时看房""]",3室2厅2卫,187,南 北,,,暂无数据,暂无数据,中楼层,31,暂无数据,民电,随时入住,暂无数据,有,民水,有,0,0,0,0,0,0,0,0,0,0,"[[""机场线,10号线"", ""三元桥"", 472]]","[{""成交日期"":""2019-04-03"",""居室"":""2室2厅2卫"",""面积"":""115㎡"",""租赁方式"":""整租"",""出租价格"":""17000元\/月""},{""成交日期"":""2019-03-17"",""居室"":""1室2厅1卫"",""面积"":""79㎡"",""租赁方式"":""整租"",""出租价格"":""12000元\/月""},{""成交日期"":""2019-03-14"",""居室"":""2室1厅2卫"",""面积"":""130㎡"",""租赁方式"":""整租"",""出租价格"":""19000元\/月""}]","【户型介绍】 此户型是凤凰城三期经典的南北通透的三居室户型，三室两厅两卫，合理利用空间。并且带有储藏间，阳台。
【装修描述】 房源精装修，家具家电齐全，完全可以拎包入住的。房间保持的很好
【交通出行】 凤凰城距离地铁三元桥站非常近，三元钱是地铁十号线和机场…",https://bj.zu.ke.com/zufang/BJ2209406032193789952.html,北京,朝阳,三元桥,凤凰城三期,https://bj.zu.ke.com/zufang/c1111027382344/,144.39,链家,0,0
6,11,整租,三源里街 1室1厅 8000元,2019-03-20,BJ2211363195019329536,https://ke-image.ljcdn.com/ehr-personnel/20180822181413443ARTX2QAJ.jpg,,,,"[""https://ke-image.ljcdn.com/110000-inspection/7eecae2c-127e-4c7b-9506-43c7f0a280fd.jpg.780x439.jpg"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417134717918"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417134717918"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417134717918"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417134717918"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417134717918""]",8000,"[""近地铁"", ""精装"", ""集中供暖""]",1室1厅1卫,37,东南,,,360,720,中楼层,6,暂无数据,民电,随时入住,暂无数据,无,民水,有,1,1,1,1,1,1,1,0,1,1,"[[""10号线"", ""亮马桥"", 942], [""机场线,10号线"", ""三元桥"", 978]]","[{""成交日期"":""2019-03-20"",""居室"":""2室1厅1卫"",""面积"":""60㎡"",""租赁方式"":""整租"",""出租价格"":""7100元\/月""},{""成交日期"":""2019-03-05"",""居室"":""1室1厅1卫"",""面积"":""37㎡"",""租赁方式"":""整租"",""出租价格"":""5000元\/月""},{""成交日期"":""2019-03-04"",""居室"":""1室1厅1卫"",""面积"":""34㎡"",""租赁方式"":""整租"",""出租价格"":""5500元\/月""}]",,https://bj.zu.ke.com/zufang/BJ2211363195019329536.html,北京,朝阳,三元桥,三源里街,https://bj.zu.ke.com/zufang/c1111027379670/,216.22,链家,0,0
7,13,整租,SOHO北京公馆 1室1厅 26000元,2019-03-13,BJ2211426716000190464,https://ke-image.ljcdn.com/ehr-personnel/20180822113338857SQUETMP1.jpg,,,,"[""https://ke-image.ljcdn.com/110000-inspection/4a25d2e5-5e72-41ab-b5ec-80c73f043afe.jpg.780x439.jpg"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417134717918"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417134717918"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417134717918"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417134717918"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417134717918"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417134717918"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417134717918""]",26000,"[""近地铁"", ""精装"", ""双卫生间""]",1室1厅2卫,144,东,,,720,1080,低楼层,25,暂无数据,民电,2019-05-01,需提前预约,有,民水,有,1,1,1,1,1,1,1,0,1,1,"[[""10号线"", ""亮马桥"", 524]]","[{""成交日期"":""2019-02-27"",""居室"":""2室2厅3卫"",""面积"":""247㎡"",""租赁方式"":""整租"",""出租价格"":""41000元\/月""},{""成交日期"":""2018-09-27"",""居室"":""3室1厅3卫"",""面积"":""309㎡"",""租赁方式"":""整租"",""出租价格"":""45000元\/月""},{""成交日期"":""2018-08-29"",""居室"":""2室1厅2卫"",""面积"":""156㎡"",""租赁方式"":""整租"",""出租价格"":""38000元\/月""}]",,https://bj.zu.ke.com/zufang/BJ2211426716000190464.html,北京,朝阳,三元桥,SOHO北京公馆,https://bj.zu.ke.com/zufang/c1111027379503/,180.56,链家,0,0
8,15,整租,三源里街 2室1厅,2019-04-03,BJ2226701050885447680,https://ke-image.ljcdn.com/rent-house-1/b583fbf779e82605193782c16a278a6d.jpg,,,,"[""https://ke-image.ljcdn.com/rent-house-1/2b659455896a8fbc9fd92302ea46835f-1555159460651/8ff1ecf3bf64a025c778f64bacab0bb3.jpg.780x439.jpg"", ""https://ke-image.ljcdn.com/rent-house-1/2b659455896a8fbc9fd92302ea46835f-1555159460651/52e31dabdd9627134349c5a2bade7768.jpg.780x439.jpg"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417134717918"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417134717918"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417134717918"", ""https://ke-image.ljcdn.com/rent-house-1/2b659455896a8fbc9fd92302ea46835f-1555159460833/d886212b64e51a1d0b7fe41ece59293b.jpg.780x439.jpg""]",7890,"[""公寓"", ""近地铁"", ""押一付一"", ""随时看房""]",2室1厅1卫,55,南,,,暂无数据,暂无数据,6,6,暂无数据,暂无数据,随时入住,随时可看,暂无数据,暂无数据,暂无数据,1,1,1,1,1,1,0,1,1,0,"[[""10号线"", ""亮马桥"", 942], [""机场线,10号线"", ""三元桥"", 978]]","[{""成交日期"":""2019-03-20"",""居室"":""2室1厅1卫"",""面积"":""60㎡"",""租赁方式"":""整租"",""出租价格"":""7100元\/月""},{""成交日期"":""2019-03-05"",""居室"":""1室1厅1卫"",""面积"":""37㎡"",""租赁方式"":""整租"",""出租价格"":""5000元\/月""},{""成交日期"":""2019-03-04"",""居室"":""1室1厅1卫"",""面积"":""34㎡"",""租赁方式"":""整租"",""出租价格"":""5500元\/月""}]","此房源位于三源里街，原始正规两居，带阳台，房源位于6层，无电梯无遮挡，采光好，房间满满的阳光味道，给您一个温暖舒适的家，小区门口就是三源里菜市场，居住生活都非常方便便捷，此房源都是个不错的选择,欢迎入住自如",https://bj.zu.ke.com/zufang/BJ2226701050885447680.html,北京,朝阳,三元桥,三源里街,https://bj.zu.ke.com/zufang/c1111027379670/,143.45,自如,0,0
9,17,整租,曙光西里 1室1厅,2019-04-07,BJ2229771180951478272,https://ke-image.ljcdn.com/rent-house-1/b583fbf779e82605193782c16a278a6d.jpg,,,,"[""https://ke-image.ljcdn.com/rent-house-1/2b659455896a8fbc9fd92302ea46835f-1555274673639/59e6c9b685e5d8814c4ff6ffdf4e79f5.jpg.780x439.jpg"", ""https://ke-image.ljcdn.com/rent-house-1/2b659455896a8fbc9fd92302ea46835f-1555274673639/deab20cbf4ea57b7d2bdd08430230181.jpg.780x439.jpg"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417134717918"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417134717918"", ""https://ke-image.ljcdn.com/rent-house-1/636f69b83827f24f7723a443c68fdbb3-1555142633972/78836da424642d726dd07ede3a51e23b.jpg.780x439.jpg""]",5660,"[""公寓"", ""近地铁"", ""押一付一"", ""随时看房""]",1室1厅1卫,58,南,,,暂无数据,暂无数据,6,6,暂无数据,暂无数据,随时入住,随时可看,暂无数据,暂无数据,暂无数据,0,0,0,1,0,0,0,1,0,0,"[[""机场线,10号线"", ""三元桥"", 583]]","[{""成交日期"":""2019-03-13"",""居室"":""1室1厅1卫"",""面积"":""40㎡"",""租赁方式"":""整租"",""出租价格"":""5555元\/月""},{""成交日期"":""2019-01-26"",""居室"":""2室1厅1卫"",""面积"":""62㎡"",""租赁方式"":""整租"",""出租价格"":""6800元\/月""},{""成交日期"":""2019-01-01"",""居室"":""2室1厅1卫"",""面积"":""61㎡"",""租赁方式"":""整租"",""出租价格"":""6700元\/月""}]","房子是业主精装房源，之前一直自住***出租，超大液晶电视房间棒极了！贴心人性化，居住人群文化素质层次高，稳定，地理环境优越，交通便利，周边银行超市商场林立里面蔬菜水果***，完全可以满足您的日常生活需要,生活十分便利。",https://bj.zu.ke.com/zufang/BJ2229771180951478272.html,北京,朝阳,三元桥,曙光西里,https://bj.zu.ke.com/zufang/c1111027379251/,97.59,自如,0,0
10,19,整租,三源里街 1室1厅,2019-04-07,BJ2229781361181327360,https://ke-image.ljcdn.com/rent-house-1/b583fbf779e82605193782c16a278a6d.jpg,,,,"[""https://ke-image.ljcdn.com/rent-house-1/2b659455896a8fbc9fd92302ea46835f-1555274757383/1f840d333b5e8e8072729c75d73d76cc.jpg.780x439.jpg"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417134717918"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417134717918"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417134717918"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417134717918"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417134717918""]",6530,"[""公寓"", ""近地铁"", ""押一付一"", ""随时看房""]",1室1厅1卫,37,南,,,暂无数据,暂无数据,6,6,暂无数据,暂无数据,随时入住,随时可看,暂无数据,暂无数据,暂无数据,0,1,1,1,1,1,0,1,1,0,"[[""10号线"", ""亮马桥"", 942], [""机场线,10号线"", ""三元桥"", 978]]","[{""成交日期"":""2019-03-20"",""居室"":""2室1厅1卫"",""面积"":""60㎡"",""租赁方式"":""整租"",""出租价格"":""7100元\/月""},{""成交日期"":""2019-03-05"",""居室"":""1室1厅1卫"",""面积"":""37㎡"",""租赁方式"":""整租"",""出租价格"":""5000元\/月""},{""成交日期"":""2019-03-04"",""居室"":""1室1厅1卫"",""面积"":""34㎡"",""租赁方式"":""整租"",""出租价格"":""5500元\/月""}]",三源里街的超大卧室，下楼就是小公园，采光好，***极高！小区环境安静；上班的大多是三元桥周边的写字楼的人，素质高，小区紧邻三环，交通位置便利 ，不管是居住，还是出行，此房源都是个不错的选择。,https://bj.zu.ke.com/zufang/BJ2229781361181327360.html,北京,朝阳,三元桥,三源里街,https://bj.zu.ke.com/zufang/c1111027379670/,176.49,自如,0,0
